Consumption (kWh), Start, End
0.175000, 2025-01-01T00:00:00+00:00, 2025-01-01T00:30:00+00:00
0.185000, 2025-01-01T00:30:00+00:00, 2025-01-01T01:00:00+00:00
0.135000, 2025-01-01T01:00:00+00:00, 2025-01-01T01:30:00+00:00
0.202000, 2025-01-01T01:30:00+00:00, 2025-01-01T02:00:00+00:00
0.153000, 2025-01-01T02:00:00+00:00, 2025-01-01T02:30:00+00:00
0.145000, 2025-01-01T02:30:00+00:00, 2025-01-01T03:00:00+00:00
0.189000, 2025-01-01T03:00:00+00:00, 2025-01-01T03:30:00+00:00
0.147000, 2025-01-01T03:30:00+00:00, 2025-01-01T04:00:00+00:00
0.153000, 2025-01-01T04:00:00+00:00, 2025-01-01T04:30:00+00:00
0.188000, 2025-01-01T04:30:00+00:00, 2025-01-01T05:00:00+00:00
0.221000, 2025-01-01T05:00:00+00:00, 2025-01-01T05:30:00+00:00
0.168000, 2025-01-01T05:30:00+00:00, 2025-01-01T06:00:00+00:00
0.162000, 2025-01-01T06:00:00+00:00, 2025-01-01T06:30:00+00:00
0.151000, 2025-01-01T06:30:00+00:00, 2025-01-01T07:00:00+00:00
0.168000, 2025-01-01T07:00:00+00:00, 2025-01-01T07:30:00+00:00
0.180000, 2025-01-01T07:30:00+00:00, 2025-01-01T08:00:00+00:00
0.148000, 2025-01-01T08:00:00+00:00, 2025-01-01T08:30:00+00:00
0.194000, 2025-01-01T08:30:00+00:00, 2025-01-01T09:00:00+00:00
0.314000, 2025-01-01T09:00:00+00:00, 2025-01-01T09:30:00+00:00
0.233000, 2025-01-01T09:30:00+00:00, 2025-01-01T10:00:00+00:00
0.372000, 2025-01-01T10:00:00+00:00, 2025-01-01T10:30:00+00:00
0.191000, 2025-01-01T10:30:00+00:00, 2025-01-01T11:00:00+00:00
0.181000, 2025-01-01T11:00:00+00:00, 2025-01-01T11:30:00+00:00
0.257000, 2025-01-01T11:30:00+00:00, 2025-01-01T12:00:00+00:00
0.328000, 2025-01-01T12:00:00+00:00, 2025-01-01T12:30:00+00:00
0.318000, 2025-01-01T12:30:00+00:00, 2025-01-01T13:00:00+00:00
0.511000, 2025-01-01T13:00:00+00:00, 2025-01-01T13:30:00+00:00
0.483000, 2025-01-01T13:30:00+00:00, 2025-01-01T14:00:00+00:00
0.454000, 2025-01-01T14:00:00+00:00, 2025-01-01T14:30:00+00:00
0.499000, 2025-01-01T14:30:00+00:00, 2025-01-01T15:00:00+00:00
0.465000, 2025-01-01T15:00:00+00:00, 2025-01-01T15:30:00+00:00
0.490000, 2025-01-01T15:30:00+00:00, 2025-01-01T16:00:00+00:00
0.496000, 2025-01-01T16:00:00+00:00, 2025-01-01T16:30:00+00:00
0.671000, 2025-01-01T16:30:00+00:00, 2025-01-01T17:00:00+00:00
0.547000, 2025-01-01T17:00:00+00:00, 2025-01-01T17:30:00+00:00
0.617000, 2025-01-01T17:30:00+00:00, 2025-01-01T18:00:00+00:00
1.285000, 2025-01-01T18:00:00+00:00, 2025-01-01T18:30:00+00:00
0.914000, 2025-01-01T18:30:00+00:00, 2025-01-01T19:00:00+00:00
0.504000, 2025-01-01T19:00:00+00:00, 2025-01-01T19:30:00+00:00
0.501000, 2025-01-01T19:30:00+00:00, 2025-01-01T20:00:00+00:00
1.023000, 2025-01-01T20:00:00+00:00, 2025-01-01T20:30:00+00:00
0.649000, 2025-01-01T20:30:00+00:00, 2025-01-01T21:00:00+00:00
0.230000, 2025-01-01T21:00:00+00:00, 2025-01-01T21:30:00+00:00
0.245000, 2025-01-01T21:30:00+00:00, 2025-01-01T22:00:00+00:00
0.184000, 2025-01-01T22:00:00+00:00, 2025-01-01T22:30:00+00:00
0.197000, 2025-01-01T22:30:00+00:00, 2025-01-01T23:00:00+00:00
0.189000, 2025-01-01T23:00:00+00:00, 2025-01-01T23:30:00+00:00
0.146000, 2025-01-01T23:30:00+00:00, 2025-01-02T00:00:00+00:00
0.059000, 2025-01-02T00:00:00+00:00, 2025-01-02T00:30:00+00:00
0.067000, 2025-01-02T00:30:00+00:00, 2025-01-02T01:00:00+00:00
0.056000, 2025-01-02T01:00:00+00:00, 2025-01-02T01:30:00+00:00
0.107000, 2025-01-02T01:30:00+00:00, 2025-01-02T02:00:00+00:00
0.068000, 2025-01-02T02:00:00+00:00, 2025-01-02T02:30:00+00:00
0.055000, 2025-01-02T02:30:00+00:00, 2025-01-02T03:00:00+00:00
0.054000, 2025-01-02T03:00:00+00:00, 2025-01-02T03:30:00+00:00
0.060000, 2025-01-02T03:30:00+00:00, 2025-01-02T04:00:00+00:00
